datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-11T19-05-51,44.566828666666666,-123.274382,0.0,None,None,None,None,None,None,None,None,False,False
2026-02-11T19-05-56,44.56682966666667,-123.27438266666668,-64.1875,-54,-90,2462,11,270.0,120.0,28.0,None,True,True
2026-02-11T19-06-01,44.566830333333336,-123.274383,-64.1875,-54,-90,2462,11,300.0,120.0,28.0,None,True,True
2026-02-11T19-06-06,44.566830333333336,-123.274383,-64.1875,-55,-90,2462,11,300.0,120.0,28.0,None,True,True
2026-02-11T19-06-11,44.56683016666666,-123.27438316666667,-64.1875,-54,-90,2462,11,300.0,81.0,28.0,None,True,True
2026-02-11T19-06-16,44.566829999999996,-123.27438333333333,-64.1875,-54,-90,2462,11,300.0,120.0,28.0,None,True,True
2026-02-11T19-06-21,44.5668295,-123.27438333333333,-64.1875,-55,-90,2462,11,300.0,120.0,28.0,None,True,True
2026-02-11T19-06-26,44.5668295,-123.27438349999998,-64.1875,-54,-90,2462,11,300.0,120.0,28.0,None,True,True
2026-02-11T19-06-31,44.5668305,-123.27438316666667,-64.1875,-53,-90,2462,11,300.0,120.0,28.0,None,True,True
2026-02-11T19-06-36,44.566831333333326,-123.27438316666667,-64.1875,-54,-90,2462,11,300.0,108.0,28.0,None,True,True
2026-02-11T19-06-41,44.56683216666667,-123.274383,-64.1875,-53,-90,2462,11,300.0,180.0,28.0,None,True,True
2026-02-11T19-06-46,44.56683316666666,-123.27438383333335,-64.1875,-54,-90,2462,11,243.0,120.0,28.0,None,True,True
2026-02-11T19-06-51,44.566834666666665,-123.27438400000001,-64.1875,-54,-90,2462,11,270.0,120.0,28.0,None,True,True
2026-02-11T19-06-56,44.566835000000005,-123.27438583333333,-64.1875,-54,-90,2462,11,300.0,108.0,28.0,None,True,True
2026-02-11T19-07-01,44.566835999999995,-123.27438716666666,-64.1875,-54,-90,2462,11,121.5,60.0,28.0,None,True,True
2026-02-11T19-07-06,44.566837333333325,-123.27438833333332,-64.1875,-57,-90,2462,11,270.0,40.5,28.0,None,True,True
2026-02-11T19-07-11,44.566837333333325,-123.27438883333335,-64.0625,-56,-90,2462,11,243.0,40.5,28.0,None,True,True
2026-02-11T19-07-16,44.566836333333335,-123.27440616666667,-63.75,-55,-90,2462,11,300.0,108.0,28.0,None,True,True
2026-02-11T19-07-21,44.56683366666666,-123.27449916666667,-68.3125,-54,-90,2462,11,300.0,54.0,28.0,None,True,True
2026-02-11T19-07-26,44.56683083333334,-123.27458333333334,-63.6875,-68,-90,2462,11,108.0,13.5,28.0,None,True,True
2026-02-11T19-07-31,44.566831,-123.27466666666666,-66.4375,-64,-90,2462,11,54.0,27.0,28.0,None,True,True
2026-02-11T19-07-36,44.56683066666666,-123.2747575,-61.8125,-65,-89,2462,11,121.5,27.0,28.0,None,True,True
2026-02-11T19-07-41,44.56683366666666,-123.27485733333333,-65.6875,-63,-89,2462,11,81.0,6.5,28.0,None,True,True
2026-02-11T19-07-46,44.56681866666666,-123.27495500000002,-70.125,-64,-89,2462,11,162.0,30.0,28.0,None,True,True
2026-02-11T19-07-51,44.56682000000001,-123.27505883333333,-63.25,-64,-89,2462,11,162.0,40.5,28.0,None,True,True
2026-02-11T19-07-56,44.566821,-123.27510633333334,-60.8125,None,None,None,None,None,None,None,None,False,False
2026-02-11T19-08-01,44.566821,-123.27510633333334,-63.375,None,None,None,None,None,None,None,None,False,False
2026-02-11T19-08-06,44.56682316666667,-123.2753195,-63.375,None,None,None,None,None,None,None,None,False,False
2026-02-11T19-08-11,44.56682133333334,-123.2754705,-63.375,None,None,None,None,None,None,None,None,False,False
2026-02-11T19-08-16,44.566821,-123.27548933333334,-63.375,None,None,None,None,None,None,None,None,False,False
