datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-11T18-38-25,44.5668295,-123.27435733333331,111.0,None,None,None,None,None,None,None,None,False,False
2026-02-11T18-38-30,44.56682966666667,-123.27435783333334,111.0,-50,-89,2437,6,270.0,180.0,28.0,None,True,True
2026-02-11T18-38-35,44.566830333333336,-123.27435883333334,111.0,-50,-89,2437,6,243.0,216.0,28.0,None,True,True
2026-02-11T18-38-40,44.5668305,-123.27435949999999,111.0,-50,-89,2437,6,270.0,180.0,28.0,None,True,True
2026-02-11T18-38-45,44.566831,-123.27435949999999,111.0,-52,-89,2437,6,243.0,162.0,28.0,None,True,True
2026-02-11T18-38-50,44.566831666666666,-123.27435566666666,100.5625,-51,-89,2437,6,243.0,180.0,28.0,None,True,True
2026-02-11T18-38-55,44.566828666666666,-123.27439316666666,-60.125,-51,-89,2437,6,243.0,120.0,28.0,None,True,True
2026-02-11T18-39-00,44.56682683333334,-123.274479,-60.0,-50,-90,2437,6,243.0,180.0,28.0,None,True,True
2026-02-11T18-39-05,44.56682766666666,-123.2745725,-58.625,-54,-90,2437,6,162.0,180.0,28.0,None,True,True
2026-02-11T18-39-10,44.56683066666666,-123.27466066666666,-61.625,-62,-90,2437,6,121.5,108.0,28.0,None,True,True
2026-02-11T18-39-15,44.566829999999996,-123.27476066666668,-60.6875,-66,-90,2437,6,162.0,108.0,28.0,None,True,True
2026-02-11T18-39-20,44.56683233333333,-123.27485833333334,-57.3125,-63,-90,2437,6,162.0,81.0,28.0,None,True,True
2026-02-11T18-39-25,44.566834166666666,-123.27494016666667,-65.6875,-66,-90,2437,6,54.0,60.0,28.0,None,True,True
2026-02-11T18-39-30,44.56682816666667,-123.27502883333334,-60.125,-66,-90,2437,6,108.0,60.0,28.0,None,True,True
2026-02-11T18-39-35,44.56683016666666,-123.27512833333334,-61.875,-70,-90,2437,6,81.0,27.0,28.0,None,True,True
2026-02-11T18-39-40,44.566831333333326,-123.27522616666666,-61.1875,-70,-90,2437,6,81.0,45.0,28.0,None,True,True
2026-02-11T18-39-45,44.566835000000005,-123.27532483333334,-61.625,-70,-90,2437,6,2.0,40.5,28.0,None,True,True
2026-02-11T18-39-50,44.56683866666667,-123.27541283333333,-62.4375,-70,-90,2437,6,81.0,40.5,28.0,None,True,True
2026-02-11T18-39-55,44.56683866666667,-123.27541283333333,-61.25,None,None,None,None,None,None,None,None,False,False
2026-02-11T18-40-00,44.56683866666667,-123.27541283333333,-61.625,None,None,None,None,None,None,None,None,False,False
2026-02-11T18-40-05,44.566841000000004,-123.27569116666668,-61.625,None,None,None,None,None,None,None,None,False,False
2026-02-11T18-40-10,44.566841000000004,-123.27569116666668,-61.625,None,None,None,None,None,None,None,None,False,False
2026-02-11T18-40-15,44.566837166666666,-123.27587116666668,-61.625,None,None,None,None,None,None,None,None,False,False
2026-02-11T18-40-20,44.566837166666666,-123.27587116666668,-61.625,None,None,None,None,None,None,None,None,False,False
2026-02-11T18-40-25,44.566836333333335,-123.27603483333333,-61.625,None,None,None,None,None,None,None,None,False,False
