datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-11T18-17-31,0.0,0.0,-64.375,None,None,None,None,None,None,None,None,False,False
2026-02-11T18-17-36,44.56683966666666,-123.27439116666667,-64.375,-50,-90,2462,11,243.0,243.0,23.0,None,True,True
2026-02-11T18-17-41,44.566838833333335,-123.27439016666668,-64.375,-56,-90,2462,11,216.0,300.0,23.0,None,True,True
2026-02-11T18-17-46,44.56683866666667,-123.27438916666667,-64.375,-50,-90,2462,11,180.0,300.0,23.0,None,True,True
2026-02-11T18-17-51,44.566838499999996,-123.27438833333332,-64.375,-50,-90,2462,11,216.0,300.0,23.0,None,True,True
2026-02-11T18-17-56,44.566837500000005,-123.27438716666666,-64.375,-50,-90,2462,11,216.0,270.0,23.0,None,True,True
2026-02-11T18-18-01,44.56683666666666,-123.27438599999999,-64.375,-52,-90,2462,11,216.0,300.0,23.0,None,True,True
2026-02-11T18-18-06,44.566835833333336,-123.27438550000001,-64.375,-51,-90,2462,11,240.0,243.0,23.0,None,True,True
2026-02-11T18-18-11,44.56683533333333,-123.27438583333333,-64.375,-51,-90,2462,11,240.0,300.0,23.0,None,True,True
2026-02-11T18-18-16,44.566835499999996,-123.27438566666666,-64.375,-52,-90,2462,11,180.0,300.0,23.0,None,True,True
2026-02-11T18-18-21,44.566835833333336,-123.27438550000001,-64.375,-52,-90,2462,11,240.0,270.0,23.0,None,True,True
2026-02-11T18-18-26,44.566836333333335,-123.27438483333331,-64.375,-52,-90,2462,11,180.0,270.0,23.0,None,True,True
2026-02-11T18-18-31,44.566837166666666,-123.27438416666668,-64.375,-53,-90,2462,11,162.0,300.0,23.0,None,True,True
2026-02-11T18-18-36,44.566838000000004,-123.27438316666667,-64.375,-52,-90,2462,11,180.0,300.0,23.0,None,True,True
2026-02-11T18-18-41,44.56683866666667,-123.27438266666668,-64.375,-52,-90,2462,11,216.0,300.0,23.0,None,True,True
2026-02-11T18-18-46,44.5668395,-123.27438233333332,-64.375,-50,-90,2462,11,180.0,270.0,23.0,None,True,True
2026-02-11T18-18-51,44.566840500000005,-123.274382,-64.375,-51,-90,2462,11,180.0,300.0,23.0,None,True,True
