datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-11T18-50-39,0.0,0.0,0.0,None,None,None,None,None,None,None,None,False,False
2026-02-11T18-50-44,44.566846166666664,-123.27436916666666,0.0,-56,-86,2442,7,6.5,180.0,27.0,None,True,True
2026-02-11T18-50-49,44.566846000000005,-123.274369,0.0,-59,-84,2442,7,6.5,216.0,27.0,None,True,True
2026-02-11T18-50-54,44.56684566666666,-123.27436916666666,0.0,-65,-84,2442,7,6.5,180.0,27.0,None,True,True
2026-02-11T18-50-59,44.56684566666666,-123.27436916666666,0.0,-57,-86,2442,7,6.5,162.0,27.0,None,True,True
2026-02-11T18-51-04,44.56684566666666,-123.27436916666666,0.0,-56,-83,2442,7,6.5,180.0,27.0,None,True,True
2026-02-11T18-51-09,44.56684566666666,-123.27436916666666,0.0,-68,-83,2442,7,6.5,180.0,27.0,None,True,True
2026-02-11T18-51-14,44.56684533333334,-123.27437183333335,0.0,-62,-85,2442,7,6.5,240.0,27.0,None,True,True
2026-02-11T18-51-19,44.56684883333334,-123.27447883333335,0.0,-60,-85,2442,7,40.5,240.0,27.0,None,True,True
2026-02-11T18-51-24,44.56684883333334,-123.27447883333335,0.0,-67,-83,2442,7,6.5,216.0,27.0,None,True,True
2026-02-11T18-51-29,44.56684883333334,-123.27454416666666,0.0,-68,-84,2442,7,13.5,120.0,27.0,None,True,True
2026-02-11T18-51-34,44.56684716666667,-123.27470183333335,0.0,-57,-83,2442,7,6.5,216.0,27.0,None,True,True
2026-02-11T18-51-39,44.5668455,-123.27473916666668,-56.3125,-70,-83,2442,7,6.5,162.0,27.0,None,True,True
2026-02-11T18-51-44,44.56684400000001,-123.27486599999999,-61.6875,-69,-84,2442,7,6.5,162.0,27.0,None,True,True
2026-02-11T18-51-49,44.56684400000001,-123.27486599999999,-62.3125,-68,-85,2442,7,6.5,30.0,27.0,None,True,True
2026-02-11T18-51-54,44.56684400000001,-123.27486599999999,-62.3125,-76,-85,2442,7,13.5,6.5,27.0,None,True,True
2026-02-11T18-51-59,44.56684583333334,-123.27498133333332,-59.5,-75,-86,2442,7,6.5,6.5,27.0,None,True,True
2026-02-11T18-52-04,44.56684400000001,-123.2751595,-60.1875,-75,-86,2442,7,6.5,6.5,27.0,None,True,True
2026-02-11T18-52-09,44.56684400000001,-123.2751595,-59.5,-76,-87,2442,7,6.5,6.5,27.0,None,True,True
2026-02-11T18-52-14,44.56684400000001,-123.2751595,-67.25,-75,-85,2442,7,6.5,6.5,27.0,None,True,True
2026-02-11T18-52-19,44.56684400000001,-123.2751595,-52.375,-78,-86,2442,7,6.5,6.5,27.0,None,True,True
2026-02-11T18-52-24,44.56683983333334,-123.27545833333333,-53.0,-80,-86,2442,7,6.5,13.5,27.0,None,True,True
2026-02-11T18-52-29,44.56683983333334,-123.27545833333333,-58.75,-79,-86,2442,7,6.5,13.5,27.0,None,True,True
2026-02-11T18-52-34,44.56683983333334,-123.27545833333333,-59.5,-82,-86,2442,7,6.5,13.5,27.0,None,True,True
2026-02-11T18-52-39,44.56683983333334,-123.27545833333333,-59.5,-81,-86,2442,7,6.5,13.5,27.0,None,True,True
2026-02-11T18-52-44,44.56683983333334,-123.27545833333333,-59.5,-82,-85,2442,7,6.5,13.5,27.0,None,True,True
2026-02-11T18-52-49,44.56683983333334,-123.27545833333333,-59.5,-81,-85,2442,7,6.5,13.5,27.0,None,True,True
2026-02-11T18-52-54,44.56683983333334,-123.27545833333333,-59.5,-84,-85,2442,7,6.5,13.5,27.0,None,True,True
2026-02-11T18-52-59,44.56683983333334,-123.27545833333333,-59.5,-82,-85,2442,7,6.5,13.5,27.0,None,True,True
2026-02-11T18-53-04,44.56683983333334,-123.27545833333333,-59.5,-85,-85,2442,7,6.5,13.5,27.0,None,True,True
2026-02-11T18-53-09,44.56683983333334,-123.27545833333333,-59.5,-85,-85,2442,7,6.5,13.5,27.0,None,True,True
2026-02-11T18-53-14,44.56683983333334,-123.27545833333333,-59.5,-82,-85,2442,7,6.5,13.5,27.0,None,True,True
2026-02-11T18-53-19,44.56683983333334,-123.27545833333333,-59.5,-84,-85,2442,7,6.5,6.5,27.0,None,True,True
2026-02-11T18-53-24,44.56683983333334,-123.27545833333333,-59.5,-86,-96,2442,7,6.5,6.5,27.0,None,True,True
2026-02-11T18-53-29,44.56683983333334,-123.27545833333333,-59.5,-87,-96,2442,7,6.5,13.5,27.0,None,True,True
2026-02-11T18-53-34,44.56683983333334,-123.27545833333333,-59.5,-87,-96,2442,7,6.5,15.0,27.0,None,True,True
2026-02-11T18-53-39,44.56683983333334,-123.27545833333333,-59.5,-86,-86,2442,7,6.5,15.0,27.0,None,True,True
2026-02-11T18-53-44,44.56683983333334,-123.27545833333333,-59.5,-87,-96,2442,7,6.5,15.0,27.0,None,True,True
2026-02-11T18-53-49,44.56683983333334,-123.27545833333333,-59.5,-88,-96,2442,7,6.5,15.0,27.0,None,True,True
2026-02-11T18-53-54,44.56683983333334,-123.27545833333333,-59.5,-87,-96,2442,7,6.5,15.0,27.0,None,True,True
2026-02-11T18-53-59,44.56683983333334,-123.27545833333333,-59.5,-88,-96,2442,7,6.5,13.5,27.0,None,True,True
2026-02-11T18-54-04,44.56683983333334,-123.27545833333333,-59.5,-88,-96,2442,7,6.5,6.5,27.0,None,True,True
2026-02-11T18-54-09,44.56683983333334,-123.27545833333333,-59.5,-89,-96,2442,7,6.5,6.5,27.0,None,True,True
2026-02-11T18-54-14,44.56683983333334,-123.27545833333333,-59.5,-88,-96,2442,7,6.5,6.5,27.0,None,True,True
2026-02-11T18-54-19,44.56683983333334,-123.27545833333333,-59.5,-89,-96,2442,7,6.5,6.5,27.0,None,True,True
2026-02-11T18-54-24,44.56683983333334,-123.27545833333333,-59.5,-88,-96,2442,7,6.5,6.5,27.0,None,True,True
2026-02-11T18-54-29,44.56683983333334,-123.27545833333333,-59.5,-87,-87,2442,7,6.5,6.5,27.0,None,True,True
