datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-11T17-19-53,44.56682049999999,-123.27436366666667,-79.25,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-19-58,44.56682133333334,-123.27436433333332,-79.125,-61,-89,2462,11,216.0,60.0,21.0,None,True,True
2026-02-11T17-20-03,44.566821,-123.27437116666667,-98.9375,-64,-89,2462,11,162.0,40.5,21.0,None,True,True
2026-02-11T17-20-08,44.56681466666667,-123.27441833333333,-77.1875,-57,-89,2462,11,243.0,30.0,21.0,None,True,True
2026-02-11T17-20-13,44.56681616666666,-123.27447400000001,-73.6875,-53,-89,2462,11,300.0,108.0,21.0,None,True,True
2026-02-11T17-20-18,44.566821,-123.27453783333334,-72.25,-62,-89,2462,11,162.0,60.0,21.0,None,True,True
2026-02-11T17-20-23,44.566820166666666,-123.27459133333332,-83.5625,-74,-89,2462,11,108.0,13.5,21.0,None,True,True
2026-02-11T17-20-28,44.5668185,-123.27465316666667,-75.25,-66,-89,2462,11,162.0,40.5,21.0,None,True,True
2026-02-11T17-20-33,44.56681700000001,-123.27472883333333,-79.1875,-65,-89,2462,11,121.5,15.0,21.0,None,True,True
2026-02-11T17-20-38,44.566821,-123.27480683333333,-72.125,-71,-89,2462,11,108.0,13.5,21.0,None,True,True
2026-02-11T17-20-43,44.566821,-123.27490083333332,-75.375,-68,-89,2462,11,108.0,27.0,21.0,None,True,True
2026-02-11T17-20-48,44.56681983333333,-123.27498033333335,-75.875,-72,-89,2462,11,81.0,6.5,21.0,None,True,True
2026-02-11T17-20-53,44.566821,-123.27509283333332,-71.125,-76,-89,2462,11,27.0,6.5,21.0,None,True,True
2026-02-11T17-20-58,44.56682250000001,-123.27511533333333,-74.4375,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-21-03,44.56682250000001,-123.27511533333333,-77.8125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-21-08,44.56682250000001,-123.27511533333333,-75.875,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-21-13,44.56682250000001,-123.27511533333333,-77.75,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-21-18,44.56682250000001,-123.27511533333333,-75.5625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-21-23,44.56682250000001,-123.27511533333333,-76.625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-21-28,44.56682250000001,-123.27511533333333,-79.25,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-21-33,44.56682250000001,-123.27511533333333,-67.25,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-21-38,44.56682250000001,-123.27511533333333,-74.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-21-43,44.56682250000001,-123.27511533333333,-77.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-21-48,44.56682250000001,-123.27511533333333,-77.625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-21-53,44.56682250000001,-123.27511533333333,-66.625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-21-58,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-22-03,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-22-08,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-22-13,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-22-18,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-22-23,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-22-28,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-22-33,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-22-38,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-22-43,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-22-48,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-22-53,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-22-58,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-23-03,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-23-08,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-23-13,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-23-18,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-23-23,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-23-28,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-23-33,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-23-38,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-23-43,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-23-48,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-23-53,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-23-58,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-24-03,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-24-08,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-24-13,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-24-18,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-24-23,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-24-28,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-24-33,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-24-38,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-24-43,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-24-48,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-24-53,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-24-58,44.56682250000001,-123.27511533333333,-68.125,None,None,None,None,None,None,None,None,False,False
