datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-11T17-09-20,44.56680583333333,-123.27437383333333,-170.5625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-09-25,44.566806,-123.27437583333334,-170.5625,-64,-90,2462,11,45.0,216.0,18.0,None,True,True
2026-02-11T17-09-30,44.56680583333333,-123.27437666666668,-170.5625,-66,-90,2462,11,120.0,216.0,18.0,None,True,True
2026-02-11T17-09-35,44.56680516666667,-123.27437800000001,-170.5625,-67,-90,2462,11,30.0,216.0,18.0,None,True,True
2026-02-11T17-09-40,44.566804166666664,-123.27437716666667,-170.5625,-61,-89,2462,11,54.0,216.0,18.0,None,True,True
2026-02-11T17-09-45,44.56680433333333,-123.27437616666666,-170.5625,-62,-89,2462,11,45.0,243.0,18.0,None,True,True
2026-02-11T17-09-50,44.5668045,-123.27437583333334,-170.5625,-65,-89,2462,11,45.0,216.0,18.0,None,True,True
2026-02-11T17-09-55,44.566804166666664,-123.2743755,-170.5625,-63,-89,2462,11,60.0,216.0,18.0,None,True,True
2026-02-11T17-10-00,44.56680383333334,-123.27437483333333,-170.5625,-62,-89,2462,11,45.0,216.0,18.0,None,True,True
2026-02-11T17-10-05,44.56680333333334,-123.27437416666668,-170.5625,-63,-89,2462,11,45.0,216.0,18.0,None,True,True
2026-02-11T17-10-10,44.5668035,-123.27437333333334,-170.625,-67,-89,2462,11,40.5,162.0,18.0,None,True,True
2026-02-11T17-10-15,44.566776499999996,-123.27437883333332,-174.0625,-66,-89,2462,11,120.0,162.0,18.0,None,True,True
2026-02-11T17-10-20,44.566732833333326,-123.27439033333333,-173.375,-66,-89,2462,11,162.0,300.0,18.0,None,True,True
2026-02-11T17-10-25,44.56668883333334,-123.2743975,-169.875,-68,-89,2462,11,162.0,243.0,18.0,None,True,True
2026-02-11T17-10-30,44.5666445,-123.2744225,-155.5,-70,-89,2462,11,6.5,121.5,18.0,None,True,True
