datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-11T17-41-56,0.0,0.0,-77.5625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-42-01,44.566820166666666,-123.27438816666667,-77.625,-49,-89,2462,11,162.0,45.0,21.0,None,True,True
2026-02-11T17-42-06,44.56682166666666,-123.2743895,-77.625,-49,-89,2462,11,216.0,108.0,21.0,None,True,True
2026-02-11T17-42-11,44.56682583333333,-123.27440733333333,-71.3125,-48,-89,2462,11,216.0,108.0,21.0,None,True,True
2026-02-11T17-42-16,44.56683366666666,-123.27448683333333,-89.375,-50,-89,2462,11,216.0,40.5,21.0,None,True,True
2026-02-11T17-42-21,44.56682983333334,-123.274545,-86.0,-49,-89,2462,11,300.0,120.0,21.0,None,True,True
2026-02-11T17-42-26,44.56682816666667,-123.27460016666667,-84.25,-52,-89,2462,11,243.0,120.0,21.0,None,True,True
2026-02-11T17-42-31,44.56682816666667,-123.27465983333335,-84.5625,-55,-89,2462,11,243.0,54.0,21.0,None,True,True
2026-02-11T17-42-36,44.56682583333333,-123.274731,-81.9375,-56,-89,2462,11,243.0,30.0,21.0,None,True,True
2026-02-11T17-42-41,44.5668275,-123.27480249999999,-82.5625,-58,-89,2462,11,162.0,27.0,21.0,None,True,True
2026-02-11T17-42-46,44.56682466666666,-123.27487483333334,-84.625,-60,-89,2462,11,162.0,40.5,21.0,None,True,True
2026-02-11T17-42-51,44.566822,-123.27494766666665,-80.5,-59,-89,2462,11,162.0,30.0,21.0,None,True,True
2026-02-11T17-42-56,44.56682616666667,-123.27502099999998,-73.0625,-60,-89,2462,11,121.5,15.0,21.0,None,True,True
2026-02-11T17-43-01,44.566831666666666,-123.27508866666668,-84.1875,-56,-89,2462,11,216.0,40.5,21.0,None,True,True
2026-02-11T17-43-06,44.566831333333326,-123.27514466666668,-82.8125,-69,-89,2462,11,81.0,6.5,21.0,None,True,True
2026-02-11T17-43-11,44.56682966666667,-123.27520383333334,-82.625,-69,-89,2462,11,81.0,6.5,21.0,None,True,True
2026-02-11T17-43-16,44.56682816666667,-123.27526366666667,-82.0625,-70,-89,2462,11,11.0,6.5,21.0,None,True,True
2026-02-11T17-43-21,44.566826000000006,-123.27531416666667,-79.1875,-69,-89,2462,11,13.5,6.5,21.0,None,True,True
2026-02-11T17-43-26,44.566826000000006,-123.27531416666667,-82.375,-74,-89,2462,11,40.5,6.5,21.0,None,True,True
2026-02-11T17-43-31,44.566828666666666,-123.27545683333334,-81.625,-71,-89,2462,11,5.5,6.5,21.0,None,True,True
2026-02-11T17-43-36,44.56682933333333,-123.2755185,-81.5625,-68,-89,2462,11,40.5,6.5,21.0,None,True,True
2026-02-11T17-43-41,44.56682966666667,-123.2755845,-81.75,-69,-89,2462,11,40.5,6.5,21.0,None,True,True
2026-02-11T17-43-46,44.56682983333334,-123.27565150000001,-79.875,-74,-89,2462,11,40.5,6.5,21.0,None,True,True
