datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-11T17-34-39,44.56681933333333,-123.27435916666667,-132.5625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-34-44,44.56676349999999,-123.27438699999999,-149.4375,-68,-91,2462,11,45.0,216.0,28.0,None,True,True
2026-02-11T17-34-49,44.566702666666664,-123.27441300000001,-140.25,-72,-91,2462,11,27.0,216.0,28.0,None,True,True
2026-02-11T17-34-54,44.56664583333333,-123.27444666666666,-143.75,-67,-91,2462,11,60.0,216.0,28.0,None,True,True
2026-02-11T17-34-59,44.5665945,-123.2744795,-140.0625,-65,-91,2462,11,45.0,216.0,28.0,None,True,True
2026-02-11T17-35-04,44.56653866666667,-123.27451799999999,-145.9375,-68,-91,2462,11,45.0,216.0,28.0,None,True,True
2026-02-11T17-35-09,44.56647566666667,-123.27454833333334,-143.9375,-73,-91,2462,11,30.0,243.0,28.0,None,True,True
2026-02-11T17-35-14,44.566413833333336,-123.27457483333335,-154.0625,-75,-91,2462,11,30.0,216.0,28.0,None,True,True
2026-02-11T17-35-19,44.56633866666666,-123.27459783333333,-149.5,-78,-91,2462,11,27.0,162.0,28.0,None,True,True
2026-02-11T17-35-24,44.56626566666667,-123.27462750000001,-156.8125,-83,-91,2462,11,13.5,108.0,28.0,None,True,True
2026-02-11T17-35-29,44.566237833333325,-123.27463266666668,-160.25,-78,-91,2462,11,6.5,27.0,28.0,None,True,True
2026-02-11T17-35-34,44.566237833333325,-123.27463266666668,-146.0,-82,-91,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-35-39,44.566237833333325,-123.27463266666668,-146.0,-86,-91,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-35-44,44.566237833333325,-123.27463266666668,-146.0,-83,-92,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-35-49,44.566237833333325,-123.27463266666668,-146.0,-82,-91,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-35-54,44.566237833333325,-123.27463266666668,-146.0,-84,-91,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-35-59,44.566237833333325,-123.27463266666668,-146.0,-84,-91,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-36-04,44.566237833333325,-123.27463266666668,-146.0,-84,-90,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-36-09,44.566237833333325,-123.27463266666668,-146.0,-82,-92,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-36-14,44.566237833333325,-123.27463266666668,-146.0,-83,-92,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-36-19,44.566237833333325,-123.27463266666668,-146.0,-88,-92,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-36-24,44.566237833333325,-123.27463266666668,-146.0,-88,-90,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-36-29,44.566237833333325,-123.27463266666668,-146.0,-87,-91,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-36-34,44.566237833333325,-123.27463266666668,-146.0,-88,-91,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-36-39,44.566237833333325,-123.27463266666668,-146.0,-87,-89,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-36-44,44.566237833333325,-123.27463266666668,-146.0,-87,-91,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-36-49,44.566237833333325,-123.27463266666668,-146.0,-87,-91,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-36-54,44.566237833333325,-123.27463266666668,-146.0,-86,-91,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-36-59,44.566237833333325,-123.27463266666668,-146.0,-88,-92,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-37-04,44.566237833333325,-123.27463266666668,-146.0,-87,-92,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-37-09,44.566237833333325,-123.27463266666668,-146.0,-87,-92,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-37-14,44.566237833333325,-123.27463266666668,-146.0,-87,-92,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-37-19,44.566237833333325,-123.27463266666668,-146.0,-87,-92,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-37-24,44.566237833333325,-123.27463266666668,-146.0,-87,-92,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-37-29,44.566237833333325,-123.27463266666668,-146.0,-87,-92,2462,11,6.5,1.0,28.0,None,True,True
2026-02-11T17-37-34,44.566237833333325,-123.27463266666668,-146.0,-87,-92,2462,11,6.5,1.0,28.0,None,True,True
