datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-11T16-35-21,44.566879666666665,-123.27437333333334,-172.375,None,None,None,None,None,None,None,None,False,False
2026-02-11T16-35-26,44.56687983333333,-123.27437283333332,-172.375,-74,-88,2452,9,6.5,108.0,18.0,None,True,True
2026-02-11T16-35-31,44.566879666666665,-123.27437383333333,-172.375,-73,-88,2452,9,6.5,120.0,18.0,None,True,True
2026-02-11T16-35-36,44.566880000000005,-123.27437499999999,-172.375,-75,-88,2452,9,15.0,120.0,18.0,None,True,True
2026-02-11T16-35-41,44.566880000000005,-123.27437566666667,-172.375,-72,-88,2452,9,6.5,180.0,18.0,None,True,True
2026-02-11T16-35-46,44.566879500000006,-123.27437666666668,-172.375,-73,-88,2452,9,30.0,120.0,18.0,None,True,True
2026-02-11T16-35-51,44.566879166666666,-123.27437716666667,-172.375,-73,-87,2452,9,6.5,180.0,18.0,None,True,True
2026-02-11T16-35-56,44.566879,-123.27437733333333,-172.375,-72,-87,2452,9,40.5,180.0,18.0,None,True,True
2026-02-11T16-36-01,44.566878333333335,-123.274377,-172.375,-72,-87,2452,9,6.5,108.0,18.0,None,True,True
2026-02-11T16-36-06,44.56687766666667,-123.27437566666667,-172.375,-72,-87,2452,9,6.5,162.0,18.0,None,True,True
2026-02-11T16-36-11,44.56687733333333,-123.27437516666666,-172.375,-76,-87,2452,9,6.5,81.0,18.0,None,True,True
2026-02-11T16-36-16,44.566876666666666,-123.27437433333334,-172.375,-74,-87,2452,9,6.5,180.0,18.0,None,True,True
2026-02-11T16-36-21,44.566876333333326,-123.27437450000001,-172.375,-73,-87,2452,9,6.5,162.0,18.0,None,True,True
2026-02-11T16-36-26,44.566876,-123.27437566666667,-172.375,-72,-87,2452,9,6.5,120.0,18.0,None,True,True
2026-02-11T16-36-31,44.56687566666666,-123.27437666666668,-172.375,-73,-87,2452,9,27.0,108.0,18.0,None,True,True
2026-02-11T16-36-36,44.56687516666666,-123.27437766666665,-172.375,-72,-87,2452,9,13.5,180.0,18.0,None,True,True
2026-02-11T16-36-41,44.5668745,-123.27437800000001,-172.375,-72,-87,2452,9,6.5,108.0,18.0,None,True,True
2026-02-11T16-36-46,44.56687383333333,-123.27437883333332,-172.375,-73,-87,2452,9,6.5,120.0,18.0,None,True,True
2026-02-11T16-36-51,44.566873,-123.27437900000001,-172.375,-74,-87,2452,9,6.5,120.0,18.0,None,True,True
2026-02-11T16-36-56,44.56687333333333,-123.27437916666668,-172.375,-74,-87,2452,9,13.5,120.0,18.0,None,True,True
2026-02-11T16-37-01,44.566874000000006,-123.27437933333334,-172.375,-73,-87,2452,9,13.5,120.0,18.0,None,True,True
2026-02-11T16-37-06,44.566874999999996,-123.27437933333334,-172.375,-69,-87,2452,9,13.5,120.0,18.0,None,True,True
2026-02-11T16-37-11,44.566876,-123.27437833333333,-172.375,-73,-87,2452,9,6.5,120.0,18.0,None,True,True
2026-02-11T16-37-16,44.5668775,-123.27437800000001,-172.375,-73,-87,2452,9,6.5,120.0,18.0,None,True,True
2026-02-11T16-37-21,44.56687883333334,-123.27437833333333,-172.375,-74,-87,2452,9,6.5,90.0,18.0,None,True,True
