datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-11T17-00-00,0.0,0.0,-79.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-00-05,0.0,0.0,-79.1875,-68,-89,2462,11,40.5,162.0,18.0,None,True,True
2026-02-11T17-00-10,0.0,0.0,-75.625,-68,-89,2462,11,45.0,243.0,18.0,None,True,True
2026-02-11T17-00-15,0.0,0.0,-69.4375,-60,-87,2462,11,90.0,300.0,18.0,None,True,True
2026-02-11T17-00-20,0.0,0.0,-70.375,-67,-87,2462,11,60.0,121.5,18.0,None,True,True
2026-02-11T17-00-25,0.0,0.0,-78.5625,-78,-87,2462,11,13.5,108.0,18.0,None,True,True
2026-02-11T17-00-30,0.0,0.0,-77.875,-72,-87,2462,11,15.0,108.0,18.0,None,True,True
2026-02-11T17-00-35,0.0,0.0,-81.5625,-71,-87,2462,11,30.0,121.5,18.0,None,True,True
2026-02-11T17-00-40,0.0,0.0,-63.875,-70,-87,2462,11,30.0,162.0,18.0,None,True,True
2026-02-11T17-00-45,0.0,0.0,-78.125,-68,-87,2462,11,27.0,121.5,18.0,None,True,True
2026-02-11T17-00-50,0.0,0.0,-72.75,-74,-89,2462,11,13.5,121.5,18.0,None,True,True
2026-02-11T17-00-55,0.0,0.0,-77.625,-79,-89,2462,11,6.5,54.0,18.0,None,True,True
2026-02-11T17-01-00,0.0,0.0,-71.9375,-75,-89,2462,11,6.5,27.0,18.0,None,True,True
2026-02-11T17-01-05,0.0,0.0,-76.3125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-01-10,0.0,0.0,-74.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-01-15,0.0,0.0,-80.5,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-01-20,0.0,0.0,-79.0625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-01-25,0.0,0.0,-76.375,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-01-30,0.0,0.0,-76.375,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-01-35,0.0,0.0,-73.0625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-01-40,0.0,0.0,-73.5625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-01-45,0.0,0.0,-75.5,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-01-50,0.0,0.0,-78.4375,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-01-55,0.0,0.0,-70.375,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-02-00,0.0,0.0,-73.8125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-02-05,0.0,0.0,-79.8125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-02-10,0.0,0.0,-78.5,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-02-15,0.0,0.0,-75.625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-02-20,0.0,0.0,-74.0625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-02-25,0.0,0.0,-75.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-02-30,0.0,0.0,-78.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-02-35,0.0,0.0,-71.0,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-02-40,0.0,0.0,-76.4375,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-02-45,0.0,0.0,-76.9375,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-02-50,0.0,0.0,-79.375,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-02-55,0.0,0.0,-74.375,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-03-00,0.0,0.0,-78.4375,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-03-05,0.0,0.0,157.6875,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-03-10,0.0,0.0,106.5,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-03-15,0.0,0.0,107.625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-03-20,0.0,0.0,108.25,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-03-25,0.0,0.0,106.1875,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-03-30,0.0,0.0,105.5,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-03-35,0.0,0.0,109.4375,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-03-40,0.0,0.0,104.75,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-03-45,0.0,0.0,104.25,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-03-50,0.0,0.0,108.75,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-03-55,0.0,0.0,106.875,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-04-00,0.0,0.0,103.8125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-04-05,0.0,0.0,102.25,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-04-10,0.0,0.0,99.5,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-04-15,0.0,0.0,102.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-04-20,0.0,0.0,101.1875,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-04-25,0.0,0.0,101.5625,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-04-30,0.0,0.0,102.75,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-04-35,0.0,0.0,105.5,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-04-40,0.0,0.0,101.125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-04-45,0.0,0.0,106.3125,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-04-50,0.0,0.0,102.25,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-04-55,0.0,0.0,99.4375,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-05-00,0.0,0.0,102.1875,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-05-05,0.0,0.0,103.25,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-05-10,0.0,0.0,107.25,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-05-15,0.0,0.0,98.8125,None,None,None,None,None,None,None,None,False,False
