datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-11T17-07-00,0.0,0.0,101.5,None,None,None,None,None,None,None,None,False,False
2026-02-11T17-07-05,0.0,0.0,80.6875,-55,-89,2462,11,216.0,162.0,21.0,None,True,True
2026-02-11T17-07-10,0.0,0.0,102.75,-53,-89,2462,11,300.0,216.0,21.0,None,True,True
2026-02-11T17-07-15,0.0,0.0,100.625,-58,-89,2462,11,162.0,81.0,21.0,None,True,True
2026-02-11T17-07-20,0.0,0.0,99.625,-64,-89,2462,11,121.5,45.0,21.0,None,True,True
2026-02-11T17-07-25,0.0,0.0,97.4375,-76,-89,2462,11,54.0,15.0,21.0,None,True,True
2026-02-11T17-07-30,0.0,0.0,100.125,-82,-89,2462,11,2.0,6.5,21.0,None,True,True
2026-02-11T17-07-35,0.0,0.0,105.25,-83,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-07-40,0.0,0.0,101.6875,-86,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-07-45,0.0,0.0,101.3125,-89,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-07-50,0.0,0.0,101.1875,-84,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-07-55,0.0,0.0,99.5,-88,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-08-00,0.0,0.0,99.5,-86,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-08-05,0.0,0.0,100.25,-87,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-08-10,0.0,0.0,101.0625,-86,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-08-15,0.0,0.0,100.375,-89,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-08-20,0.0,0.0,100.0625,-88,-89,2462,11,1.0,6.5,21.0,None,True,True
2026-02-11T17-08-25,0.0,0.0,92.1875,0,0,2462,11,0.0,0.0,21.0,None,True,True
2026-02-11T17-08-30,0.0,0.0,-77.4375,0,0,2462,11,0.0,0.0,21.0,None,True,True
2026-02-11T17-08-35,0.0,0.0,-77.875,0,0,2462,11,0.0,0.0,21.0,None,True,True
2026-02-11T17-08-40,0.0,0.0,-76.875,0,0,2462,11,0.0,0.0,21.0,None,True,True
2026-02-11T17-08-45,0.0,0.0,-79.25,0,0,2462,11,0.0,0.0,21.0,None,True,True
2026-02-11T17-08-50,0.0,0.0,-80.0625,0,0,2462,11,0.0,0.0,21.0,None,True,True
2026-02-11T17-08-55,0.0,0.0,-73.625,0,0,2462,11,0.0,0.0,21.0,None,True,True
2026-02-11T17-09-00,0.0,0.0,-83.9375,0,0,2462,11,0.0,0.0,21.0,None,True,True
2026-02-11T17-09-05,0.0,0.0,-74.875,0,0,2462,11,0.0,0.0,21.0,None,True,True
2026-02-11T17-09-10,0.0,0.0,-75.375,0,0,2462,11,0.0,0.0,21.0,None,True,True
2026-02-11T17-09-15,0.0,0.0,-78.4375,0,0,2462,11,0.0,0.0,21.0,None,True,True
2026-02-11T17-09-20,0.0,0.0,-77.4375,0,0,2462,11,0.0,0.0,21.0,None,True,True
