datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-25T13-59-24,44.56680716666666,-123.27442316666665,26.125,None,None,None,None,None,None,None,None,False,False
2026-02-25T13-59-29,44.56680800000001,-123.27442283333333,26.125,-33,-88,924,None,None,32.5,21.0,8,True,True
2026-02-25T13-59-34,44.566808666666674,-123.27442233333335,26.125,-31,-86,924,None,None,32.5,21.0,8,True,True
2026-02-25T13-59-39,44.5668095,-123.27442166666667,26.125,-37,-88,924,None,None,32.5,21.0,8,True,True
2026-02-25T13-59-44,44.56681066666667,-123.27442083333332,26.125,-34,-88,924,None,None,32.5,21.0,8,True,True
2026-02-25T13-59-49,44.56681083333333,-123.27442033333334,26.125,-33,-88,924,None,None,32.5,21.0,8,True,True
2026-02-25T13-59-54,44.56681083333333,-123.27442016666667,26.125,-33,-88,924,None,None,32.5,21.0,8,True,True
2026-02-25T13-59-59,44.56681066666667,-123.27441966666666,26.125,-33,-88,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-00-04,44.56681033333333,-123.2744195,26.125,-35,-88,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-00-09,44.5668095,-123.27441883333334,26.125,-34,-88,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-00-14,44.56680849999999,-123.27441883333334,26.125,-32,-86,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-00-19,44.56680783333333,-123.27441833333333,26.125,-32,-88,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-00-24,44.56680766666667,-123.27441849999998,26.125,-34,-88,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-00-29,44.56680733333333,-123.27441966666666,26.125,-32,-88,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-00-34,44.56680683333334,-123.27442033333334,26.125,-33,-88,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-00-39,44.5668065,-123.27442100000002,26.125,-39,-88,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-00-44,44.56680633333334,-123.27442166666667,26.125,-35,-88,924,None,None,32.5,21.0,8,True,True
