datetime,latitude,longitude,heading,signalLevel,noiseLevel,frequency,channel,rxbitrate,txbitrate,txpower,channelWidth,connected,syncing
2026-02-25T14-32-40,44.566829999999996,-123.27441116666665,24.25,None,None,None,None,None,None,None,None,False,False
2026-02-25T14-32-45,44.56683066666666,-123.27441283333334,24.25,-33,-72,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-32-50,44.56683083333334,-123.27441383333334,24.25,-32,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-32-55,44.566830333333336,-123.27441333333333,24.25,-36,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-33-00,44.56682983333334,-123.27441300000001,24.125,-32,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-33-05,44.566828666666666,-123.27441283333334,24.0,-38,-78,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-33-10,44.56682783333334,-123.274412,23.8125,-34,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-33-15,44.56682683333334,-123.27441083333333,23.8125,-33,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-33-20,44.56682583333333,-123.27440966666667,23.8125,-34,-70,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-33-25,44.566825,-123.27440800000001,23.9375,-32,-68,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-33-30,44.56682433333334,-123.27440700000001,22.875,-32,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-33-35,44.56682316666667,-123.27440649999998,25.4375,-31,-74,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-33-40,44.56682316666667,-123.27440683333334,25.4375,-33,-76,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-33-45,44.56682349999999,-123.2744075,25.4375,-34,-74,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-33-50,44.56682433333334,-123.27440866666666,25.4375,-36,-74,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-33-55,44.56682533333333,-123.2744095,25.4375,-32,-72,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-34-00,44.56682633333333,-123.27440966666667,25.4375,-34,-72,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-34-05,44.5668265,-123.27440983333332,25.4375,-33,-78,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-34-10,44.56682616666667,-123.27441083333333,25.4375,-36,-74,924,None,None,32.5,21.0,8,True,True
2026-02-25T14-34-15,44.56682616666667,-123.27441150000001,25.4375,-30,-74,924,None,None,32.5,21.0,8,True,True
