datetime,latitude,longitude,wireless_channel,wireless_frequency,wireless_opmode,wireless_signal,wireless_noisef,wireless_rssi,wireless_txpower,wireless_distance,wireless_ccq,
21:38:35.114768,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-52,-76,44,21,0,940,
21:38:35.226099,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-51,-76,45,21,0,946,
21:38:35.340760,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-46,-76,50,21,0,951,
21:38:35.460653,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-49,-76,47,21,0,929,
21:38:35.576233,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-45,-76,51,21,0,934,
21:38:35.699597,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-48,-76,48,21,0,939,
21:38:35.816702,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-53,-76,43,21,0,941,
21:38:35.956646,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-53,-76,43,21,0,944,
21:38:36.073753,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-48,-76,48,21,0,946,
21:38:36.176702,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-49,-76,47,21,0,949,
21:38:36.288649,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-45,-76,51,21,0,954,
21:38:36.408479,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-44,-76,52,21,0,956,
21:38:36.519595,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-53,-76,43,21,0,959,
21:38:36.620633,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-51,-76,45,21,0,962,
21:38:37.035324,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-50,-76,46,21,0,960,
21:38:37.100317,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-52,-76,44,21,0,962,
21:38:37.163403,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-52,-76,44,21,0,964,
21:38:37.224622,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-52,-76,44,21,0,966,
21:38:37.285937,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-51,-76,45,21,0,969,
21:38:37.346262,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-52,-76,44,21,0,968,
21:38:37.410833,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-52,-76,44,21,0,968,
21:38:37.535979,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-52,-76,44,21,0,971,
21:38:37.658924,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-51,-76,45,21,0,973,
21:38:37.773848,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-52,-76,44,21,0,975,
21:38:37.889493,44.56681823730469,-123.27436828613281,36,2439 MHz,11nght40minus,-52,-76,44,21,0,972,
